"code","name_en","dist_en","gov_en","code_alt","name_alt"
"72167","Rmaich","Bent Jbeil","El Nabatieh","93","Rmeich"
"72111","Bent Jbayl","Bent Jbeil","El Nabatieh","94","Bint Jbeil"
"73127","Ibl Es-Saqi","Marjaayoun","El Nabatieh","95","Ebl AI Saki"
"71261","Roumine","El Nabatieh","El Nabatieh","96","Roumin"
"52176","Aammiq BG","West Bekaa","Bekaa","97","Ammiq"
"52171","Mansoura BG","West Bekaa","Bekaa","98","AI mansoura"
"52111","Machghara","West Bekaa","Bekaa","99","Machghara"
"52151","Khirbet Qanafar","West Bekaa","Bekaa","100","Kherbit Anafar"
"52227","Ghazzeh","West Bekaa","Bekaa","101","Ghazze"
"51211","Chtaura","Zahle","Bekaa","102","Chtaura"
"51389","Kfarzabad","Zahle","Bekaa","103","Kfarzabad"
"51177","Niha Zahleh","Zahle","Bekaa","104","Niha"
"51139","Fourzol","Zahle","Bekaa","105","Forzol"
"51173","Qaa Er-Rim","Zahle","Bekaa","106","Kaa Rim"
"51359","Raait","Zahle","Bekaa","107","Rait"
"51311","Riyaq","Zahle","Bekaa","108","Riyak- Hauch Hala"
"51317","Haouch Hala","Zahle","Bekaa","108","Riyak- Hauch Hala"
"51365","Terbol Zahleh","Zahle","Bekaa","109","Terbol"
"51231","Saadnayel","Zahle","Bekaa","110","Saadnayel"
"51267","Barr Elias","Zahle","Bekaa","111","Bar Elias"
