code,name,inc,incIndex,pro,proIndex
UKJ25,West Surrey,"30,748",145.7,43.5,124
UKJ26,East Surrey,"29,971",142,46.1,131.5
UKJ27,West Sussex (South West),"23,276",110.3,33.7,96.1
UKJ28,West Sussex (North East),"24,809",117.5,33.4,95.4
UKJ31,Portsmouth,"16,297",77.2,33.8,96.4
UKJ32,Southampton,"16,994",80.5,40,114.3
UKJ34,Isle of Wight,"18,366",87,27.8,79.4
UKJ35,South Hampshire,"21,117",100,37.7,107.7
UKJ36,Central Hampshire,"26,302",124.6,35.1,100.2
UKJ37,North Hampshire,"25,364",120.2,49.1,140.2
UKJ41,Medway,"18,885",89.5,35.4,101
UKJ43,Kent Thames Gateway,"20,598",97.6,32.2,91.9
UKJ44,East Kent,"19,379",91.8,30.1,85.8
UKJ45,Mid Kent,"22,196",105.2,29.8,85.2
UKJ46,West Kent,"27,655",131,41.2,117.5
UKK11,"Bristol, City of","19,692",93.3,31.7,90.5
UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire","22,625",107.2,36.8,105.2
UKK13,Gloucestershire,"22,553",106.8,30.6,87.5
UKK14,Swindon,"19,804",93.8,49.4,141.1
UKK15,Wiltshire,"22,522",106.7,33,94.3
UKK21,Bournemouth and Poole,"21,334",101.1,31.3,89.4
UKK22,Dorset CC,"22,763",107.8,30.9,88.3
UKK23,Somerset,"20,441",96.8,27.7,79
UKK30,Cornwall and Isles of Scilly,"18,568",88,26.5,75.7
UKK41,Plymouth,"17,555",83.2,30.4,86.8
UKK42,Torbay,"18,412",87.2,26.5,75.7
UKK43,Devon CC,"20,461",96.9,29.8,84.9
UKL11,Isle of Anglesey,"17,613",83.4,25.4,72.6
UKL12,Gwynedd,"16,249",77,27.5,78.4
UKL13,Conwy and Denbighshire,"17,572",83.2,24.5,70
UKL14,South West Wales,"16,964",80.4,25.7,73.5
UKL15,Central Valleys,"15,796",74.8,29.6,84.5
UKL16,Gwent Valleys,"15,587",73.8,29.4,83.9
UKL17,Bridgend and Neath Port Talbot,"16,616",78.7,32.1,91.5
UKL18,Swansea,"15,755",74.6,29.9,85.4
UKL21,Monmouthshire and Newport,"18,896",89.5,30.2,86.2
UKL22,Cardiff and Vale of Glamorgan,"17,690",83.8,33.7,96.2
UKL23,Flintshire and Wrexham,"18,840",89.3,29.3,83.6
UKL24,Powys,"18,295",86.7,20.9,59.7
UKM50,Aberdeen City and Aberdeenshire,"21,648",102.6,37.6,107.3
UKM61,Caithness and Sutherland and Ross and Cromarty,"19,683",93.2,33.4,95.2
UKM62,"Inverness and Nairn and Moray, Badenoch and Strathspey","19,537",92.6,33.9,96.8
UKM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","18,760",88.9,31.7,90.6
UKM64,Na h-Eileanan Siar,"17,931",84.9,29.5,84.2
UKM65,Orkney Islands,"18,783",89,37.5,107
UKM66,Shetland Islands,"20,890",99,37,105.7
UKM71,Angus and Dundee City,"18,103",85.8,31.3,89.3
UKM72,Clackmannanshire and Fife,"18,751",88.8,35.2,100.6
UKM73,East Lothian and Midlothian,"21,864",103.6,31.5,89.8
UKM75,City of Edinburgh,"23,374",110.7,43.9,125.3
UKM76,Falkirk,"18,369",87,36.6,104.6
UKM77,Perth and Kinross and Stirling,"21,561",102.1,37.8,107.8
UKM78,West Lothian,"18,267",86.5,36.3,103.7
UKM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","20,853",98.8,32.5,92.7
UKM82,Glasgow City,"17,145",81.2,29.8,85.1
UKM83,"Inverclyde, East Renfrewshire and Renfrewshire","19,730",93.5,28.6,81.6
UKM84,North Lanarkshire,"17,541",83.1,33.1,94.4
UKM91,Scottish Borders,"20,243",95.9,26.8,76.6
UKM92,Dumfries and Galloway,"18,482",87.6,27.5,78.5
UKM93,East Ayrshire and North Ayrshire mainland,"17,316",82,27,77.2
UKM94,South Ayrshire,"19,825",93.9,26.8,76.6
UKM95,South Lanarkshire,"19,072",90.4,27.4,78.3
