code,name,inc,incIndex,pro,proIndex
UKC,North East,16995,80.5,30.6,87.3
UKD,North West,18362,87,32.2,92
UKE,Yorkshire-Humber,17665,83.7,29.7,84.7
UKF,East Midlands,18277,86.6,30,85.7
UKG,West Midlands,18222,86.3,31.1,88.8
UKH,East of England,22205,105.2,33.3,95.2
UKI,London,29362,139.1,46.3,132.3
UKJ,South East,24318,115.2,37.8,107.9
UKK,South West,20907,99,31.8,90.7
UKL,Wales,17100,81,29.2,83.3
UKM,Scotland,19572,92.7,33.8,96.6
UKN,Northern Ireland,17340,82.1,30.1,85.9
