code,name,1,2,3,4,5,6,7,8,9,10,mean,sdev,type
E06000054,Wiltshire,0.35,2.46,3.86,7.02,11.23,15.44,12.63,16.49,18.6,11.93,6.507,2.1428,right
E06000055,Bedford,3.88,9.71,10.68,11.65,9.71,9.71,13.59,12.62,9.71,8.74,5.2961,2.6434,flat
E06000056,Central Bedfordshire,0,1.91,6.37,4.46,7.01,8.92,14.65,9.55,26.75,20.38,7.0287,2.2405,right
E06000057,Northumberland,11.68,8.63,9.14,11.17,11.17,11.17,10.15,6.6,10.66,9.64,4.901,2.869,flat
E06000058,Bournemouth,7.27,10,8.18,17.27,10.91,13.64,10,11.82,8.18,2.73,4.7273,2.4817,nshape
E06000058,Christchurch,0,6.67,0,3.33,10,6.67,13.33,20,16.67,23.33,7.0333,2.3004,right
E06000058,Poole,1.08,4.3,9.68,7.53,11.83,9.68,19.35,7.53,13.98,15.05,6.0806,2.4774,right
E06000059,East Dorset,0,0,1.75,7.02,7.02,5.26,10.53,12.28,21.05,35.09,7.6228,2.0448,right
E06000059,North Dorset,0,0,0,8.11,18.92,37.84,8.11,5.41,18.92,2.7,6.0135,1.6603,nshape
E06000059,Purbeck,0,0,0,10.34,20.69,17.24,37.93,10.34,0,3.45,5.8103,1.3914,nshape
E06000059,West Dorset,0,1.72,3.45,12.07,13.79,24.14,22.41,15.52,3.45,3.45,5.7241,1.707,nshape
E06000059,Weymouth and Portland,15.79,10.53,10.53,18.42,10.53,7.89,7.89,5.26,7.89,5.26,4.1316,2.7551,flat
E07000004,Aylesbury Vale,0,0.87,5.22,6.96,4.35,6.09,9.57,22.61,19.13,25.22,7.2565,2.1545,right
E07000005,Chiltern,0,0,0,1.75,1.75,5.26,8.77,17.54,12.28,52.63,8.3596,1.5052,right
E07000006,South Bucks,0,0,0,0,2.5,17.5,17.5,22.5,10,30,7.6,1.5657,right
E07000007,Wycombe,0,0,1.87,6.54,11.21,11.21,6.54,12.15,13.08,37.38,7.3972,2.1672,right
E07000008,Cambridge,0,4.35,8.7,2.9,20.29,11.59,11.59,14.49,14.49,11.59,6.1087,2.315,right
E07000009,East Cambridgeshire,0,0,0,4,10,22,14,14,18,18,7,1.8098,right
E07000010,Fenland,7.27,12.73,18.18,20,20,9.09,9.09,3.64,0,0,3.6455,1.83,left
E07000011,Huntingdonshire,0,1.9,2.86,3.81,14.29,12.38,11.43,15.24,20.95,17.14,6.8524,2.103,right
E07000012,South Cambridgeshire,0,0,1.04,0,5.21,5.21,14.58,19.79,19.79,34.38,7.9271,1.5811,right
E07000026,Allerdale,11.67,8.33,10,15,10,10,15,10,5,5,4.5833,2.6316,nshape
E07000027,Barrow-in-Furness,24.49,16.33,10.2,6.12,14.29,4.08,8.16,8.16,6.12,2.04,3.5612,2.7794,left
E07000028,Carlisle,5.88,13.24,14.71,14.71,10.29,5.88,11.76,5.88,10.29,7.35,4.6765,2.7369,flat
E07000029,Copeland,6.12,16.33,18.37,16.33,16.33,10.2,0,6.12,6.12,4.08,3.9694,2.4161,left
E07000030,Eden,0,0,2.78,13.89,22.22,27.78,8.33,13.89,11.11,0,5.6111,1.6523,nshape
E07000031,South Lakeland,0,0,0,5.08,13.56,11.86,20.34,27.12,11.86,10.17,6.7712,1.6591,right
E07000032,Amber Valley,3.85,6.41,8.97,7.69,20.51,6.41,12.82,11.54,14.1,7.69,5.5128,2.5457,nshape
E07000033,Bolsover,4.17,18.75,16.67,20.83,12.5,10.42,2.08,12.5,2.08,0,3.8333,2.1272,left
E07000034,Chesterfield,8.7,20.29,14.49,13.04,10.14,4.35,10.14,2.9,10.14,5.8,4.1522,2.775,flat
E07000035,Derbyshire Dales,2.33,0,0,0,11.63,16.28,13.95,16.28,25.58,13.95,7.0581,1.9186,right
