code,name_en,dist_en,gov_en,name_alt,2020-10-05_2020-10-12,2020-10-12_2020-10-19
25261,Jaaita,Kesrwane,Mount Lebanon,Jeita,30,97
25311,Ghazir,Kesrwane,Mount Lebanon,Ghazir,,95
25313,Bourj El-Ftouh,Kesrwane,Mount Lebanon,Fatqa,33,94
25315,Chnanaair,Kesrwane,Mount Lebanon,Chenanhir,,93
25319,Ghosta,Kesrwane,Mount Lebanon,Ghosta,,96
25329,Kfour Kesrouane,Kesrwane,Mount Lebanon,El-Kfour,,100
25375,Zaitoun,Kesrwane,Mount Lebanon,Zeitoune,,106
25411,Rayfoun,Kesrwane,Mount Lebanon,Rayfoun,,102
25415,Qleiaat,Kesrwane,Mount Lebanon,El-Kleiyate,,101
25423,Aachqout,Kesrwane,Mount Lebanon,Achkoute,,88
25435,Raachine,Kesrwane,Mount Lebanon,Raachin,29,
26111,Jbayl-Hboub,Jbeil,Mount Lebanon,Jbail,,84
26129,Blat Jbeil,Jbeil,Mount Lebanon,Blat,26,78
26135,Eddeh Jbayl,Jbeil,Mount Lebanon,Edde,22,79
26141,Aamchit,Jbeil,Mount Lebanon,Amshit,27,77
26147,Halate,Jbeil,Mount Lebanon,Halate,,81
26153,Hasrayel,Jbeil,Mount Lebanon,Hesrayel,28,83
26165,Jeddeyel,Jbeil,Mount Lebanon,Jeddeyel,,85
26171,Nahr Ibrahim,Jbeil,Mount Lebanon,Nahr Ibrahim,24,87
26177,Mounsef,Jbeil,Mount Lebanon,El-Mouncef,,86
26229,Hsoun,Jbeil,Mount Lebanon,Hsoun,21,
26247,Haqel,Jbeil,Mount Lebanon,Hakel,,82
26256,Aabaydat,Jbeil,Mount Lebanon,Obeidate,,76
26266,Fatre,Jbeil,Mount Lebanon,Fatri,25,
26291,Ghofrine,Jbeil,Mount Lebanon,Ghorfine,,80
26384,Tartij,Jbeil,Mount Lebanon,Tartj,23,
31111,Al Zeitoun,Tripoli,North,Tripoli Jardins,,20
31151,El Qobe,Tripoli,North,Tripoli Jardins,,24
31156,Zahriye,Tripoli,North,Tripoli Jardins,,26
31166,Aswak,Tripoli,North,Tripoli Jardins,,21
31166,Baal El Wati,Tripoli,North,Tripoli Jardins,,22
31166,Chalfe,Tripoli,North,Tripoli Jardins,,23
31166,El Saki Chemali,Tripoli,North,Tripoli Jardins,,25
31221,Qalamoun,Tripoli,North,AI Qalamoun,15,
32125,Bsarma,El Koura,North,Bsorma,8,
32137,Kousba,El Koura,North,Kousba,,16
32169,Btouratij,El Koura,North,Btoratij,9,
32181,Enfeh,El Koura,North,Anfeh,10,15
32185,Ras Masqa,El Koura,North,Ras Maska,,17
32187,Barsa,El Koura,North,Barsa,11,14
33111,Zgharta,Zgharta,North,Zgharta,19,35
33117,Rachaaine,Zgharta,North,Raashin,17,34
33121,Kfarhata,Zgharta,North,Kfar hata,,30
33123,Erdeh,Zgharta,North,ArdT,,29
33129,Mejdlaya,Zgharta,North,Mejdlaya,,31
33133,Aalma,Zgharta,North,Alma,,27
33211,Ehden,Zgharta,North,Ehden,18,28
33251,Miziara,Zgharta,North,Mizyara,16,33
33271,Miriata,Zgharta,North,Meryata,20,32
34111,Batroun,Batroun,North,Batroune,,10
34144,Kfar Aabida,Batroun,North,Kfar Obeida,,13
34188,Chikka,El Batroun,North,Chekka,6,11
